trip_id,driver_id,vehicle_id,source,destination,distance_km,load_kg,route,weather,traffic,fuel_used_l,co2_kg,fuel_cost,trip_date
T000001,D0398,V0074,Tumakuru,Mysuru,295.5,4393,Eco,Fog,Low,28.2,53.1,2115.0,2026-01-01 01:00:00
T000002,D0293,V0107,Hassan,Hubballi,67.4,3568,Shortest,Rain,Low,7.75,14.53,581.25,2026-01-01 02:00:00
T000003,D0009,V0092,Belagavi,Bengaluru,229.8,1606,Eco,Rain,High,38.41,73.61,2880.75,2026-01-01 03:00:00
T000004,D0094,V0035,Mandya,Belagavi,277.1,1533,Shortest,Fog,High,56.14,8.46,505.26,2026-01-01 04:00:00
T000005,D0442,V0200,Belagavi,Mandya,32.1,1283,Shortest,Rain,Medium,2.48,6.46,235.6,2026-01-01 05:00:00
T000006,D0218,V0021,Belagavi,Mandya,325.0,7555,Shortest,Clear,High,35.77,69.49,2682.75,2026-01-01 06:00:00
T000007,D0446,V0091,Hubballi,Mysuru,247.6,7626,Eco,Clear,High,28.14,4.21,253.26,2026-01-01 07:00:00
T000008,D0065,V0018,Mandya,Bengaluru,67.1,4366,Shortest,Fog,Low,5.73,12.94,607.38,2026-01-01 08:00:00
T000009,D0143,V0064,Mysuru,Mangaluru,65.4,2358,Fastest,Rain,High,5.5,15.09,522.5,2026-01-01 09:00:00
T000010,D0437,V0019,Tumakuru,Hubballi,322.4,7906,Fastest,Clear,Low,48.35,131.2,4593.25,2026-01-01 10:00:00
T000011,D0261,V0058,Tumakuru,Belagavi,72.0,2488,Fastest,Cloudy,Medium,10.47,27.35,994.65,2026-01-01 11:00:00
T000012,D0211,V0197,Mysuru,Bengaluru,122.1,7208,Shortest,Fog,High,12.37,34.33,1175.15,2026-01-01 12:00:00
T000013,D0266,V0040,Mandya,Belagavi,338.9,5482,Fastest,Clear,Low,22.85,3.47,205.65,2026-01-01 13:00:00
T000014,D0329,V0044,Tumakuru,Mysuru,226.3,3026,Fastest,Clear,High,18.6,2.79,167.4,2026-01-01 14:00:00
T000015,D0456,V0161,Tumakuru,Hubballi,89.6,9438,Eco,Clear,Medium,10.19,19.98,764.25,2026-01-01 15:00:00
T000016,D0442,V0184,Hubballi,Hassan,173.3,5731,Shortest,Cloudy,Medium,15.72,2.37,141.48,2026-01-01 16:00:00
T000017,D0443,V0158,Tumakuru,Hassan,101.8,7350,Fastest,Rain,Medium,8.43,16.01,632.25,2026-01-01 17:00:00
T000018,D0259,V0118,Belagavi,Hassan,310.1,4444,Fastest,Clear,Medium,20.16,37.8,1512.0,2026-01-01 18:00:00
T000019,D0188,V0012,Mysuru,Tumakuru,64.2,7063,Fastest,Rain,Medium,7.39,17.27,783.34,2026-01-01 19:00:00
T000020,D0481,V0094,Mysuru,Mandya,341.8,2863,Fastest,Rain,High,47.79,129.3,4540.05,2026-01-01 20:00:00
T000021,D0379,V0077,Mandya,Hassan,327.4,6011,Shortest,Fog,High,35.24,66.98,2643.0,2026-01-01 21:00:00
T000022,D0243,V0068,Hubballi,Tumakuru,121.5,9977,Shortest,Clear,High,16.89,38.4,1790.34,2026-01-01 22:00:00
T000023,D0161,V0108,Bengaluru,Mangaluru,332.9,2981,Eco,Clear,Medium,24.82,3.73,223.38,2026-01-01 23:00:00
T000024,D0468,V0137,Mangaluru,Hubballi,177.9,6108,Shortest,Cloudy,Medium,16.3,37.6,1727.8,2026-01-02 00:00:00
T000025,D0361,V0054,Tumakuru,Mangaluru,118.5,8511,Eco,Rain,Medium,12.14,22.45,910.5,2026-01-02 01:00:00
T000026,D0474,V0114,Mandya,Hassan,33.9,4701,Shortest,Clear,Medium,2.39,6.22,227.05,2026-01-02 02:00:00
T000027,D0120,V0014,Hassan,Mysuru,36.8,2141,Eco,Cloudy,High,8.19,19.13,868.14,2026-01-02 03:00:00
T000028,D0147,V0166,Belagavi,Hassan,234.7,1469,Fastest,Rain,Medium,26.1,66.31,2479.5,2026-01-02 04:00:00
T000029,D0005,V0077,Bengaluru,Belagavi,151.0,9805,Shortest,Rain,Low,13.24,25.26,993.0,2026-01-02 05:00:00
T000030,D0132,V0184,Tumakuru,Mysuru,286.9,3550,Fastest,Fog,High,33.63,5.0,302.67,2026-01-02 06:00:00
T000031,D0480,V0064,Hubballi,Mangaluru,51.5,611,Eco,Fog,Medium,4.3,11.83,408.5,2026-01-02 07:00:00
T000032,D0352,V0129,Hassan,Bengaluru,240.4,5595,Shortest,Cloudy,Medium,32.27,60.71,2420.25,2026-01-02 08:00:00
T000033,D0349,V0194,Mangaluru,Hassan,251.6,1841,Shortest,Cloudy,Low,15.31,29.47,1148.25,2026-01-02 09:00:00
T000034,D0299,V0126,Mandya,Hassan,302.0,1989,Shortest,Cloudy,High,23.83,44.92,1787.25,2026-01-02 10:00:00
T000035,D0112,V0149,Tumakuru,Hubballi,27.2,1696,Fastest,Clear,High,5.28,10.05,396.0,2026-01-02 11:00:00
